"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 07 13:19:47 IST 2024","Wed Feb 07 13:19:49 IST 2024","2187","Default Suite","ProductStore","ExamProductStore.HomePage","ExamProductStore.HomePage","contact","contact",""
"passed","Wed Feb 07 13:19:34 IST 2024","Wed Feb 07 13:19:39 IST 2024","5306","Default Suite","ProductStore","ExamProductStore.HomePage","ExamProductStore.HomePage","laptopsDevicesAreAvailable","laptopsDevicesAreAvailable",""
"passed","Wed Feb 07 13:20:43 IST 2024","Wed Feb 07 13:20:49 IST 2024","5596","Default Suite","ProductStore","ExamProductStore.HomePage","ExamProductStore.HomePage","checkPrice","checkPrice",""
"passed","Wed Feb 07 13:19:44 IST 2024","Wed Feb 07 13:19:47 IST 2024","2741","Default Suite","ProductStore","ExamProductStore.HomePage","ExamProductStore.HomePage","home","home",""
"passed","Wed Feb 07 13:19:59 IST 2024","Wed Feb 07 13:20:03 IST 2024","3763","Default Suite","ProductStore","ExamProductStore.HomePage","ExamProductStore.HomePage","contactSendMessage","contactSendMessage",""
"passed","Wed Feb 07 13:19:55 IST 2024","Wed Feb 07 13:19:57 IST 2024","2173","Default Suite","ProductStore","ExamProductStore.HomePage","ExamProductStore.HomePage","logIn","logIn",""
"passed","Wed Feb 07 13:19:30 IST 2024","Wed Feb 07 13:19:34 IST 2024","3340","Default Suite","ProductStore","ExamProductStore.HomePage","ExamProductStore.HomePage","phonesDevicesAreAvailable","phonesDevicesAreAvailable","Phones Devices Are Available"
"passed","Wed Feb 07 13:20:03 IST 2024","Wed Feb 07 13:20:36 IST 2024","33416","Default Suite","ProductStore","ExamProductStore.HomePage","ExamProductStore.HomePage","addToCart","addToCart",""
"passed","Wed Feb 07 13:19:52 IST 2024","Wed Feb 07 13:19:55 IST 2024","2906","Default Suite","ProductStore","ExamProductStore.HomePage","ExamProductStore.HomePage","cart","cart",""
"passed","Wed Feb 07 13:19:39 IST 2024","Wed Feb 07 13:19:44 IST 2024","5123","Default Suite","ProductStore","ExamProductStore.HomePage","ExamProductStore.HomePage","monitorsDevicesAreAvailable","monitorsDevicesAreAvailable",""
"passed","Wed Feb 07 13:19:57 IST 2024","Wed Feb 07 13:19:59 IST 2024","2426","Default Suite","ProductStore","ExamProductStore.HomePage","ExamProductStore.HomePage","singUp","singUp",""
"passed","Wed Feb 07 13:20:36 IST 2024","Wed Feb 07 13:20:43 IST 2024","6720","Default Suite","ProductStore","ExamProductStore.HomePage","ExamProductStore.HomePage","checkCartPage","checkCartPage",""
"passed","Wed Feb 07 13:19:49 IST 2024","Wed Feb 07 13:19:52 IST 2024","2457","Default Suite","ProductStore","ExamProductStore.HomePage","ExamProductStore.HomePage","aboutUs","aboutUs",""
